NAME,LATITUDE,LONGITUDE
Fuhlsbüttler Straße/Hartzloh,10.041,53.601
Eißendorfer Pferdeweg/ Asklepios-Klinik Harburg,9.951,53.459
Versmannstraße/Am Hannoverschen Bahnhof,10.006168,53.540782
Paul-Ehrlich-Straße/Asklepios Klinik Altona,9.900752,53.554433
Niendorf Markt/Tibarg,9.9513113,53.6190722
Nordalbinger Weg/Paul-Sorge-Straße,9.9500955,53.6408352
Langenhorn Markt/Tangstedter Landstraße,10.0163663,53.6487572
Weidestraße /Johannes-Prassek-Park,10.0258479,53.5808087
Habichtstraße/Steilshooper Straße,10.0506397,53.593726
Hugo-Kirchberg-Straße/Tesa,9.98528,53.65429
Georg-Wilhelm-Straße/Mankiewicz,9.99,53.494
Hindenburgstraße/Möringbogen,10.012225,53.606177
Nordschleswiger Straße/Dulsberg-Nord,10.06523,53.585813
Grandweg/Veilchenweg,9.964681,53.589185
Siemersplatz/Kollaustraße,9.963929,53.600072
Langenfelder Damm/Müggenkampstraße,9.938418,53.580757
Randstraße/ Stellingen,9.919356,53.590248
DESY/Notkestraße,9.878527,53.574537
Große Elbstraße/Van-der-Smissen-Straße,9.94246,53.543906
Thadenstraße/Holstenstraße,9.950708,53.555827
Elbchaussee/Teufelsbrück,9.862013,53.547425
Ohnhorststraße/Klein Flottbek,9.86216,53.558587
Caspar-Voght-Straße/Sievekingsallee,10.061703,53.559893
Riedweg/Vierbergen,10.095515,53.547643
Billstedter Platz/Öjendorfer Weg,10.106106,53.540096
Manshardtstraße/EKZ Manshardtstraße,10.107447,53.559215
Osdorfer Landstraße/ Elbe-Einkaufszentrum,9.862423,53.571629
Alsterdorf Markt/Evangelische Stiftung,10.0239462,53.6120909
Neuländer Kamp/Eurofins ,10.0041327,53.4616513
Djarkartaweg/Sengelmannstraße,10.022685,53.609163
S Nettelnburg/Friedrich-Frank-Bogen,10.182199,53.488482
Wentorfer Straße/Bezirksamt Bergedorf,10.22,53.487427
Vierlandenstraße/Johann-Adolf-Hasse-Platz,10.210913,53.488449
